the picture|das Bild(er)
tomorrow|morgen
in the morning|morgens
in the afternoon|nachmittags
no|nein
not|nicht
isn't it?; isn't that right?|nicht wahr?
again, once more (2 words)|noch einmal
only (starts with n)|nur
or|oder
open the book to page...|öffnen Sie das Buch auf Seite...
say that again please|sagen Sie das bitte noch einmal
too bad (starts with s)|schade
again|(schon) wieder
please write that|schreiben Sie das bitte
very|sehr
speak slowly please|sprechen Sie bitte langsam
goodbye; bye (colloquial)|tschüss
(at) one o'clock|(um) eins
(at) two o'clock|(um) zwei
(at) half past one|(um) halb zwei
(at) quarter past one|(um) Virtel nach eins
(at) quarter to two|(um) Virtel vor zwei
and|und
when where you born? (familiar)|wann bist du geboren?
what does ... mean?|was bedeutet ...?
what is that?|was ist das?
how much is ...?|was kostet ...?
how much are ...?|was kosten ...?
what colour is ...?|welche Farbe hat ...?
i beg your pardon?|wie bitte?
please repeat that|wiederholen Sie das bitte
how are you (familiar)|wie geht es dir
how are you (formal)|wie geht es Ihnen
how are you (casual)|wie geht's
what's your name (familiar)|wie heißt du
what's your name (formal)|wie heißen Sie
how does one say ... in German|wie sagt man ... auf Deutsch
how do you spell that|wie schreibt man ...
how late is it|wie spät ist es
what time is it|wie viel Uhr ist es
how much|wie viel
how many|wie viele
really; indeed (starts with w)|wirklich
where is ...?|wo ist ...?
too (with adjective or adverb)|zu
