to lose weight|abnehmen
to listen to music on YouTube|Musik über YouTube hören
the music business|das Musikbusiness
the music taste|der Musikgeschmack(¨e)
the music genre|die Musikrichtung(en)
the openness|die Offenheit
the record deal|der Plattenvertrag(¨e)
the record producer (male)|der Produzent(-)
the record producer (female)|die Produzentin(nen)
to produce|produzieren
the quality|die Qualität
quiet, soft|ruhig
the record|die Schallplatte(n)
the (German) pop hit, pop music|der Schlager(-)
inconceivable|undenkbar
signed to (a record label)|unter Vertrag bei
to promote|werben für
up to date (starts with z-)|zeitgemäß
to distract oneself (reflexive)|sich ablenken
to turn off (starts with "absc-")|abschalten
to turn off (starts with "abst-")|abstellen
the variety|die Abwechslung(en)
current, up to date (starts with a-)|aktuell
the appearance (e.g on TV)|der Auftritt(e)
from afar (3 words)|aus der Ferne
out of boredom|aus Langweile
to be ridiculed|ausgelacht werden
to chill out|ausruhen
to turn off (starts with "ausr-")|ausruhen
to turn off (starts with "auss-")|aussellen
the broadcast|die Ausstrahlung(en)
to influence|beeinflussen
convenient (starts with b-)|bequem
the lack of physical activity|der Bewegungsmangel
to apply (for something)|sich (um etwas) bewerben
conscious(ly)|bewusst
the talent show|die Castingshow(s)
to make stupid|dumm machen
to channel-hop|durch die Kanäle zappen
to turn on (starts with e-)|einschalten
the viewing figures|die Einschaltquoten
in order to boost audience ratings|für Einschalquotenzwecke
to fulfil|erfüllen
to replace|ersetzen
the colour TV|das Farbfernsehen(-)
the remote control|die Fernbedienung
the TV consumption|der Fernsehkonsum
the TV bosses, producers|die Fernsehmacher
the TV schedule|das Fernsehprogramm(e)
the TV viewers|die Fernsehzuschauer
the population as a whole|die Gesamtbevölkerung
to watch (starts with g-)|gucken
the background noise|das Hintergrundgeräusch(e)
to be on in the background|in Hingergrund laufen
to get information (reflexive)|sich informieren
the online TV|das Internetfernsehen(-)
for decades|jahrzehntelang
the channel|der Kanal(¨e)
the gap (starts with K-)|die Kluft(¨e)
to ridicule something|etwas lächerlich machen
to learn useful things|Nützliches erfahren
embarrassing|peinlich
per day|pro Tag
shallow|seicht
the soap opera|die Seifenoper(n)
to decide for yourself|selbst bestimmen
the broadcaster|der Sender(-)
the programme (starts with S-)|die Sendung
the series|die Serie(n)
gripping|spanned
always (starts with s-)|stets
daily|täglich
the reason for watching TV|das TV-Nutzungsmotiv(e)
to entertain oneself (reflexive)|sich unterhalten
to serve as entertainment|der Unterhaltung dienen
the entertainment factor|der Unterhaltungsfaktor(en)
in front of the 'box'|vor der Glotze
to weight up the pros and cons|die Vor- und Nachteile abwägen
too much violence on TV|zu viel Gewalt im Fernsehen
the advertising|die Werbung(en)
for distraction/relaxation (has "zur")|zur Ablenkung
for distraction/relaxation (has "zum")|zum Entspannen
to decrease (starts with z-)|zurückgehen
the link (starts with Z-)|der Zusammenhang(¨e)
