often (2 words)|a menudo
to go to the polls (starts with acudir)|acudir a las urnas
to go to the polls (starts with ir)|ir a las urnas
somebody else's/foreign (can only find masculine examples of this word)|ajeno
apolitical (masculine)|apolítico
apolitical (feminine)|apolítica
to back a party|apostar por un partido
the grant|la beca
citizenship/the citizens|la ciudadanía
the elections (starts with c)|los comicios
committed (masculine)|comprometido
committed (feminine)|comprometida
the demonstrations, protests (starts with c)|las concentraciones
the civic awareness|la conciencia cívica
the approval (starts with c)|la conformidad
the consent|el consentimiento
the certainty|la convicción
to fulfil (starts with c)|cumplir
the defender (male)|el defensor
the defender (female)|la defensora
the mistrust, distrust|la desconfianza
desireable (adjective ends in e)|deseable
to wish, desire|desear
disenchanted, disillusioned (starts with "dese") (masculine)|desencantado
disenchanted, disillusioned (starts with "dese") (feminine)|desencantada
desperate (masculine)|desesperado
desperate (feminine)|desesperada
the ills, misfourtunes|las desgracias
disappointed/disillusioned (starts with "desi") (masculine)|desilusionado
disappointed/disillusioned (starts with "desi") (feminine)|desilusionada
the lack of interest, indifference|el desinterés
the member of parliament (male)|el diputado
the member of parlliament (female)|la diputada
the electorate (can only find masculine version of this word)|el electorado
to worsen|empeorar
to strengthen|fortalecer
rogue (un + noun)|un granuja
to campaign (literally: to make a campaign)|hacer campaña
angry (starts with i) (masculine)|indignado
angry (starts with i) (feminine)|indignada
individual (adjective)|individual
"an individual" (male)|un individuo
"an individual" (female)|una individua
the concern, worry|la inquietud
to get involved (reflexive)|involucrarse
the working day|la jornada laboral
to achieve (starts with L)|lograr
to express/to state (starts with m)|manifestar
to lie|mentir
the activist (male)|el militante
the activist (female)|la militante
to be a member of/to be active in a party|militar en un partido
to demonstrate, to protest (reflexive) (starts with "mo")|movilizarse
the wave|la ola
the supporter (male)|el partidario
the supporter (female)|la partidaria
the apathy, indifference (starts with p)|la pasividad
apathetic (starts with p)|pasota
to afford (also: to allow) (starts with p) (reflexive)|permitirse
the stance|la postura
the job insecurity|la precariedad laboral
the proposal|la propuesta
to claim/to demand|reclamar
to reclaim (starts with "rei")|reivindicar
the representative (male)|el representante
the representative (female)|la representante
the trade union|el sindicato
supportive/caring (masculine)|solidario
supportive/caring (feminine)|solidaria
to put up with (starts with s)|soportar
to put up with (starts with a)|aguantar
to brand someone|tachar a alguien
the voter (male)|el votante
the voter (female)|la votante
in the long term|a largo plazo
to sign up (starts with a) (reflexive)|apuntarse
the help|la ayuda
to look for (starts with b)|buscar
to take (starts with "co")|coger
to fight (starts with c)|combatir
to get (starts with c)|conseguir
a contract|un contrato
to pay contributions|cotizar
to register (3 words)|dar de alta
the unemployment (starts with d)|el desempleo
the employees (from "empresa") (male)|los empresarios
the employees (from "empresa") (female)|las empresarias
in cash|en efectivo
the job (starts with e)|el empleo
to find (starts with e)|encontrar
to be unemployed (3 words)|estar en paro
to be fed up (masculine)|estar harto
to be fed up (feminine)|estar harta
to demand (starts with e)|exigir
the experience|la experiencia
the lack of (3 words)|la falta de
the training (like "formation")|la formación
the lost generation|la generación perdida
the job centre (special name)|el INEM
the income|el ingreso
the youth|la juventud
to launch|lanzar
to demonstrate (reflexive) (starts with "ma")|manifestarse
to leave (starts with m) (reflexive)|marcharse
to improve|mejorar
the labour market|el mercado laboral
to show (starts with m)|mostrar
the guidance (like "orientation")|la orientación
the youth unemployment|el paro juvenil
the work experience (this is plural)|las prácticas laborales
to claim, try to (starts with p)|pretender
the position/post (starts with p)|el puesto
to carry out (starts with r)|realizar
to solve (starts with r)|resolver
the security|la seguridad
the unemployment benefit|el subsidio del paro
to represent/to make up, to suppose|suponer
the rate|la tasa
to work (starts with t)|trabajar
to aquire (a bit like the english)|adquirir
to face, to confront (starts with a)|afrontar
to reach (like "to reach out")|alcanzar
the anxiety/anguish|la angustia
the outbreak/bud (starts with b)|el brote
the alley|el callejón
the career/degree|la carerra
to collaborate|colaborar
the group (starts with "col")|el colectivo
the committment (also "engagement")|el compromiso
the comsumer (ends in "ista") (male)|el consumista
the comsumer (ends in "ista") (female)|la consumista
to turn around (metaphorically like "to turn your life around") (has a c in it) (3 words)|dar un vuelco
to owe|deber
selfish (ends in a always)|egoísta
to enrich|enriquecer
the effort|el esfuerzo
the hope|la esperanza
to be prepared to (3 words) (masculine)|estar dispuesto a
to be prepared to (3 words) (feminine)|estar dispuesta a
to be hopeful (masculine)|estar esperanzado
to be hopeful (feminine)|estar esperanzada
the success|el éxito
the murder of a woman|el femicidio
the signature|la firma
the funds|los fondos
to face, to confront (3 words) (includes "forehead")|hacer frente a
the orphan (male)|el huérfano
the orphan (female)|la huérfana
the tax|el impuesto
unattainable, unachievable (resembles "to reach") (adjective ends in e)|inalcanzable
the income (plural form)|los ingresos
worrying (adjective ends in e)|inquietante
to instil|instilar
unfortunate/terrible (starts with L)|lamentable
the freedom of speech|la libertad de expresión
the university degree (starts with L)|la licenciatura
the enrolment fee (starts with m)|la matrícula
the nature (starts with n)|la naturaleza
the leisure (starts with o)|el ocio
permissive/indulgent (masculine)|permisivo
permissive/indulgent (feminine)|permisiva
the request (starts with p)|la petición
the pleasure|el placer
to consider (starts with p) (reflexive)|plantearse
to happen (starts with p) (reflexive)|producirse
the parent (ends in r) (male)|el progenitor
the parent (ends in "ra") (female)|la progenitora
promising (ends in "dor") (masculine)|prometedor
promising (ends in "dora") (feminine)|prometedora
to complain (reflexive)|quejarse
the radio listener (noun ends in e) (male)|el radioyente
the radio listener (noun ends in e) (female)|la radioyente
to raise money|recaudar
to collect/to gather up (starts with r)|recoger
to reinforce|reforzar
to be hopeful (of something) (masculine)|ser esperanzador
to be hopeful (of something) (feminine)|ser esperanzadora
the solidarity/support|la solaridad
to dream of/about|soñar con
the rise, increase (starts with s)|la subida
the salary (starts with "su")|el sueldo
the dream|el sueño
the university fee (literally: university rate)|la tasa universitaria
the voluntary work|el vuluntariado
the shelter (same word for "coat")|el abrigo
the pavement|la acera
the event (starts with a)|el acontecimiento
the agreement|el acuerdo
the nickname|el apodo
to take advantage of, leverage, make the most of|aprovechar
to show (starts with a)|asomar
the great grandfather|el bisabuelo
the great grandmother|la bisabuela
the corpse|el cadáver
the cart (in mexican this means "car")|el carro
ashen (masculine)|ceniciento
ashen (feminine)|cenicienta
the comfort|la comodidad
to grow up|crecer
the dubbing (giving something a name)|el doblaje
to dub|doblar
the dramatist (male)|el dramaturgo
the dramatist (female)|la dramaturga
the army (starts with e)|el ejército
the guts (like "entrails")|las entrañas
to hand over|entregar
to break out (starts with e)|estallar
to avoid (starts with "evi")|evitar
ghostly|fantasmal
to sign|firmar
the extract|el fragmento
the forge (starts with "fr")|la fragua
the war front|el frente
the flight (starts with f)|la fuga
the gun (starts with f)|el fusil
the scythe|la hoz
to flee|huir
to work (starts with L) (has an o in it)|laborar
distant (masculine)|lejano
distant (feminine)|lejana
the leadership|el liderazgo
to carry out (3 words)|llevar a cabo
to fight for|luchar por
the early hours|la madrugada
birth (adjective) (e.g birth country)|natal
the working class (starts with o)|el obrero
the squad|el pelotón
sadly (starts with p) (adjective ends in e)|penosamente
the lead (the metal)|el plomo
the prisoner (starts with p) (masculine)|el preso
the prisoner (starts with p) (feminine)|la presa
to star in (starts with p)|protagonizar
to travel through|recorrer
to examine/search (starts with r)|registrar
to return (starts with "reg")|regresar
to pray|rezar
to shake/disturb|sacudir
the trade union|el sindicato
to fly over|sobrevolar
to provide (starts with s)|suministrar
season (1 word) (starts with t)|la temporada
the passerby (only article changes between genders) (male)|el transeúnte
the passerby (only article changes between genders) (female)|la transeúnte
the burial mound|el túmulo
the executioner (male)|el verdugo
the executioner (female)|la verduga
the anvil|el yunque
DNA|ADN
agrarian (masculine)|agrario
agrarian (feminine)|agraria
the isolation|el aislamiento
the uprising (starts with a)|el alzamiento
to put before|anteponer
the self-rule|la autonomía
the endorsement (starts with a) (4 letters)|el aval
buoyant (always ends in e)|boyante
the fall|la caída
the criminal charge (2 words)|el cargo penal
controversial (masculine)|controvertido
controversial (feminine)|controvertida
to play a part (3 words) (1st word starts with d)|desempeñar un papel
to stand out|destacar
the effigy|la efigie
to draw up|elaborar
to lead/to head|encabezar
to face|enfrentar
to be wrong (reflexive)|equivocarse
the expectation|la expectativa
to die (starts with f)|fallecer
failed (starts with "fal") (masculine)|fallido
failed (starts with "fal") (feminine)|fallida
the grave (starts with f)|la fosa
to become (starts with h) (reflexive)|hacerse
heir/successor (male)|el heredero
heir/successor (female)|la heredera
in honour of (3 words)|en honor a
the strike|la huelga
unexpected (masculine)|improvisto
unexpected (feminine)|improvista
to establish (starts with i)|instaurar
the attempt|el intento
to manage/to succeed|lograr
by means of (starts with m)|mediante
the currency (same as "coins")|la moneda
to grant (starts wih o)|otorgar
peacefully (starts with p) (adjective ends in e)|pacíficamente
the location (starts with p)|el paradero
to perish|perecer
the permanence/remaining|la permanencia
to survive (starts with p)|pervivir
the commoner (male)|el plebeyo
the commoner (female)|la plebeya
to bring to light (3 words) (starts with poner)|poner de manifiesto
as, given that (2 words) (starts with p)|puesto que
to revive (it's reavivar) (there are like 5 synonyms for this all starting with r)|reavivar
the regime|el régimen
the reign|el reinado
to reestablish|restablecer
to restore (sounds a bit like the english)|restaurar
to withdraw|retirar
the womens' suffrage|el sufragio femenino
the lieutenant (only article changes between genders) (male)|el teniente
the lieutenant (only article changes between genders) (female)|la teniente
to move (starts with t)|trasladar
on the eve of|en vísperas de
the act of contrition|el acto de contrición
the avenue, tree-lined path, poplar grove (starts with "al")|la alameda
the breath (starts with a)|el aliento
to burn (starts with a)|arder
to overrun (starts with a)|avasallar
to launder|blanquear
the barrel of a gun|el cañón
the prison|la cárcel
the censorship|la censura
to concede|conceder
to condemn|condenar
the behaviour (starts with "con") (feminine)|la conducta
the fulfilment|el cumplimiento
to overthrow (starts with "derri")|derribar
to overthrow (starts with "derro")|derrocar
the overthrow (starts with "derro")|el derrocamiento
to break out (starts with d)|desembocar
the dismantling|el desmantelamiento
to dismantle (starts with "desma")|desmantelar
the fate|el destino
the radio station|la emisora
faltering (masculine)|entrecortado
faltering (feminine)|entrecortada
to hide (reflexive) (starts with e)|esconderse
to extradite|extraditar
to fail (starts with "fal")|fallar
fateful (masculine)|fatídico
fateful (feminine)|fatídica
the railways|los ferrocarriles
the farm/estate|la hacienda
relentless (no gender) (starts with i)|implacable
to initiate (starts with i)|iniciar
to barge in|irrumpir
the opponent (like "opposition") (male)|el opositor
the opponent (like "opposition") (female)|la opositora
the penalty, sentence (starts with p)|la pena
the (metaphorical) damage (e.g to a reputation) (starts with p)|el perjuicio
to persue|perseguir
subsequent (starts with p)|posterior
last (it's "postre" with an extra letter)|postrer
to catch fire (reflexive)|prenderse fuego
to bring about (starts with "propi")|propiciar
to cause (starts with p)|provocar
to be lowered (reflexive)|rebajarse
the imprisonment (starts with r)|la reclusión
the resource|el recurso
the surrender|la rendición
the prisoner (starts with r) (masculine)|el reo
the prisoner (starts with r) (feminine)|la rea
repressive (masculine)|represivo
repressive (feminine)|represiva
the break (starts with "ru")|la ruptura
the preist (starts with s)|el sacerdote
to come to light|salir a la luz
to kidnap (starts with s)|secuestrar
without trial|sin juicio
to ask for (starts with "so")|solicitar
the subordinate (male) (not subordinado)|el subalterno
the subordinate (female) (not subordinada)|la subalterna
to happen (starts with s)|suceder
to plunge (starts with s)|sumir
the traitor (male)|el traidor
the traitor (female)|la traidora
the violation|la violación
the mayor (male)|el alcalde
the mayor (female)|la alcaldesa
to threaten|amenazar
to tie|atar
to hang (also "to upload", starts with co)|colgar
the summit|la cumbre
to disappoint, to let down|decepcionar
the crime (starts with d)|el delito
to report|denunciar
the right (e.g right to protest)|el derecho
the eviction|el desahucio
to sack|despedir
the unfurling|el despliegue
to broadcast (starts with d)|difundir
the MP (male)|el diputado
the MP (female)|la diputada
come to and end, dissolved (masculine)|disuelto
come to and end, dissolved (feminine)|disuelta
to climb, (starts with "es")|escalar
to make an effort (starts with e) (reflexive)|esforzarse
the outbreak (of a conflict) (starts with e)|el estallido
to be fed up of (masculine)|estar harto de
to be fed up of (feminine)|estar harta de
state (adjective form)|estatal
to demand (starts with e)|exigir
the force (starts with f)|la fuerza
the tear gas|los gases lacrimógenos
to record (starts with g)|grabar
the inheritance (starts with h, also "lecacy")|la herencia
the mortgage|la hipoteca
the strike|la huelga
to prevent (starts with i)|impedir
to outrage (starts with i)|indignar
the hierarchy|la jerarquía
to retire (reflexive)|jubilarse
the scourge (also "blot", "mark", starts with L)|la lacra
the protestors (starts with m) (noun ends in e) (male)|los manifestantes
the protestors (starts with m) (noun ends in e) (female)|las manifestantes
to protest (starts with "ma")|manifestar
the gag|la mordaza
to fine, to impose a fine (1 word)|multar
to oppose to (reflexive)|oponerse a
the placard/banner|la pancarta
the unemployment (starts with p)|el paro
the patrol|la patrulla
the danger|el peligro
to punish (starts with p, has a after the word) (reflexive)|penarse a
the permission|el permiso
to try (starts with p)|pretender
to promote (ends in "-ver")|promover
to protest (starts with p)|protestar
to cause (starts with p, like "provoke")|provocar
the rejection|el rechazo
the risk|el riesgo
the headquarters|la sede
the trade union|el sindicato
the salary (starts with "su")|el sueldo
to cover (like "tap")|tapar
to tweet|tuitear
approaching (starts with v) (masculine)|venidero
approaching (starts with v) (feminine)|venidera
the shame (starts with v)|la vergüenza
the activism|el activismo
the agreement|el acuerdo
the membership (like "afiliation")|la afiliación
the member (starts with "af") (male)|el afiliado
the member (starts with "af") (female)|la afiliada
the members (starts with "af") (male)|los afiliados
the members (starts with "af") (female)|las afiliadas
the altercations, rows|los altercados
the field of work|el ámbito laboral
to intimidate (starts with a)|amedrentar
to support|apoyar
the support (starts with "ap")|el apoyo
to take advantage of (reflexive) (has "de" after the word)|aprovecharse de
to suffocate (starts with "as")|asfixiar
the austerity|la austeridad
the wellbeing|el bienestar
the prison|la cárcel
to rub shoulders with (reflexive)|codearse con
to call a strike|convocar a una huelga
the leadership (starts with c)|la cúpula
to defend (starts with d)|defender
the inequality|la desigualdad
to crush (like "un-inflate")|desinflar
to negotiate (starts with "di")|dialogar
the managers (starts with d) (noun ends in e) (male)|los dirigentes
the managers (starts with d) (noun ends in e) (female)|las dirigentes
the employees (starts with "em") (male)|los empleados
the employees (starts with "em") (female)|las empleadas
the businesses (starts with e)|las empresas
to be in charge of (reflexive)|encargarse de
the factories|las fábricas
Public prosecutor (answer this with a capital and no article)|Fiscalía
the guilds (starts with g)|los gremios
the equality|la igualdad
the impunity|la impunidad
unfair (masculine)|injusto
unfair (feminine)|injusta
involved (masculine)|involucrado
involved (feminine)|involucrada
the uprising (starts with L)|el levantamiento
to fight (starts with L)|luchar
to mobilise (reflexive)|movilizarse
to negotiate|negociar
the businesses (starts with n)|los negocios
the worker (male)|el obrero
the worker (female)|la obrera
the picket|el piquete
the poverty|la pobreza
to protect|proteger
to bankrupt|quebrar
the characteristic, feature|el rasgo
the cuts|los recortes
to support (starts with r)|respaldar
unionised (masculine)|sindicalizado
unionised (feminine)|sindicalizada
the trend|la tendencia
to look out for (starts with "ve")|velar
the camp|la acampada
to hound (same as "to bully")|acosar
to encourage (starts with a)|animar
to appeal|apelar
to contribute (starts with a)|aportar
to join up (starts with a) (reflexive)|apuntarse
to attend|asistir
the spoils of war|el botín de guerra
the search (starts with b)|la búsqueda
the Spanish (from castille)|el castellano
to punish|castigar
illegal (starts with c) (masculine)|clandestino
illegal (starts with c) (feminine)|clandestina
the key (starts with c)|la clave
to calculate (starts with "comp") (reflexive)|computarse
to make aware (starts with c)|concienciar
to sentence (starts with c)|condenar
to corrupt (starts with c)|corromper
to blame (starts with c)|culpar
the defence|la defensa
the disagreements|los desacuerdos
to disappear|desaparecer
the development|el desarrollo
the unemployed people (male)|los desempleados 
the unemployed people (female)|las desempleadas 
the hopelessness (starts with d)|la desesperación
to march (also "to parade")|desfilar
the disobedience|la desobediencia
the detractors (male)|los detractores
the detractors (female)|las detractoras
the dictatorship|la dictadura
to twist (starts with d)|distorsionar
to approach (reflexive) (has "a")|acercarse a
to manage to (starts with ac) (has "a")|acertar a
to be/get used to (reflexive) (has "a")|acostumbrarse a
to manage to (starts with al) (has "a")|alcanzar a
to encourage to (has "a")|animar a
to learn to (has "a")|aprender a
to dare to (reflexive) (has "a")|atreverse a
to help (has "a")|ayudar a
to go down to (has "a")|bajar a
to begin to (starts with c) (has "a")|comenzar a
to undertake to (reflexive) (has "a")|comprometerse a
to lead to (starts with c) (has "a")|conducir a
to contribute to (has "a")|contribuir a
to invite to (starts with c) (has "a")|convidar a
to take care of (has "a")|cuidar a
to decide to (reflexive) (has "a")|decidirse a
to devote oneself to (reflexive) (has "a")|dedicarse a
to challenge to (has "a")|desafiar a
to get ready to (starts with d) (reflexive) (has "a")|disponerse a
to begin to (it is echar) (not reflexive) (has "a")|echar a
to begin to (it is echarse) (reflexive) (has "a")|echarse a
to begin to (starts with em) (has "a")|empezar a
to teach to, show how to (has "a")|enseñar a
to force to (starts with f) (has "a")|forzar a
to urge to (has "a")|impulsar a
to incite to (has "a")|incitar a
to incline to (has "a")|inclinar a
to invite to (starts with i) (has "a")|invitar a
to go to (has "a")|ir a
to limit oneself to (reflexive) (has "a")|limitarse a
to manage to, succeed in, end up (i know youtubers say "hemos ______ a <number> seguidores") (has "a")|llegar a
to become (______ a ser) (has "a")|llegar a ser
to lead to (starts with L) (has "a")|llevar a
to send to (has "a")|mandar a
to start to (starts with m) (reflexive) (has "a")|meterse a
to refuse to (starts with n) (reflexive) (has "a")|negarse a
to force, compel to (starts with o) (has "a")|obligar a
to go on to (starts with p) (has "a")|pasar a
to begin to, set about (starts with pon) (reflexive) (has "a")|ponerse a
to get ready to (starts with p) (kind of like "prepare") (reflexive) (has "a")|prepararse a
to renounce (has "a")|renunciar a
to resign oneself to (reflexive) (has "a")|resignarse a
to resist (reflexive) (has "a")|resistirse a
to tend to (has "a")|tender a
to (do something) again (has "a")|volver a
to threaten to (has "con")|amenazar con
to begin with (starts with com) (has "con")|comenzar con
to begin by (starts with com) (has "por")|comenzar por
to count/rely on (has "con")|contar con
to be satisfied with (kind of like "to be happy with oneself with") (reflexive) (has "con")|contentarse con
to be concerned with (kind of like "to be/become worried with") (reflexive) (has "con")|preocuparse con
to dream of (has "con")|soñar con
to concern, have to do with ( ____ que ver con) (has "con")|tener que ver con
to get further away from (reflexive) (has "de")|alejarse de
to have just done something (has "de")|acabar de
to remember to (uses acordar not recordar) (reflexive) (has "de")|acordarse de
to accuse of (has "de")|acusar de
to be happy, pleased to (reflexive) (has "de")|alegrarse de
to regret (reflexive) (has "de")|arrepentirse de
to be ashamed of (reflexive) (has "de")|avergonzarse de
to tire of something (reflexive) (has "de")|cansarse de
to cease (has "de")|cesar de
to become convinced of (reflexive) (has "de")|convencerse de
to take care, be careful of (has "de")|cuidar de
to stop; to fail to (starts with d) (has "de")|dejar de
to dissuade from (has "de")|disuadir de
to take charge of (reflexive) (has "de")|encargarse de
to take care, be careful not to (kind of like "to save oneself from" but doesn"t use salvar) (starts with gu) (reflexive) (has "de')|guardarse de
to be fed up with (reflexive) (has "de")|hartarse de
to boast about (starts with j) (reflexive) (has "de")|jactarse de
to bemoan (reflexive) (has "de")|lamentarse de
to forget to (reflexive) (has "de")|olvidarse de
to stop (starts with p) (has "de")|parar de
to be concerned about (uses "preocupar") (reflexive) (has "de")|preocuparse de
to boast about (starts with p) (has "de")|presumir de
to complain about (reflexive) (has "de")|quejarse de
to stop (starts with t) (has "de")|terminar de
to try to (it"s "tratar de") (has "de')|tratar de
to be about, be a question of (reflexive) (has "de")|tratarse de
to consist of (has "en")|consistir en
to agree to (starts with c) (has "en")|convenir en
to hesitate to (starts with d) (has "en")|dudar en
to insist on (starts with e) (reflexive) (has "en")|empeñarse en
to be right to ( ____ bien en) (has "en")|hacer bien en
to be wrong to ( ____ mal en) (has "en")|hacer mal en
to insist on (starts with i) (has "en")|insistir en
to be interested in (reflexive) (has "en")|interesarse en
to take the trouble to (reflexive) (has "en")|molestarse en
to think about (has "en")|pensar en
to persist in (has "en")|persistir en
to agree to (starts with q) (has "en")|quedar en
to take a long time to, delay in (has "en")|tardar en
to hesitate over (starts with v) (has "en")|vacilar en
to strive to (starts with af) (reflexive) (has "por")|afanarse por
to strive to (starts with ap) (reflexive) (has "por")|apurarse por
to apologise for (reflexive) (has "por")|disculparse por
to struggle to (starts with e) (reflexive) (has "por")|esforzarse por
to struggle for, fight for (starts with L) (has "por")|luchar por
to opt for (has "por")|optar por
to advise to (no preposition)|aconsejar
to agree to (starts with a) (no preposition)|acordar
to threaten to (no preposition)|amenazar
to long to (no preposition)|anhelar
to confess to (no preposition)|confesar
to get, to succeed at/in, manage to, to get (starts with c) (no preposition)|conseguir
to think, believe (no preposition)|creer
should, must, to have to (no preposition)|deber
to decide to (no preposition)|decidir
to let, allow (no preposition)|dejar
to want, desire (no preposition)|desear
to hope to, wait, expect (no preposition)|esperar
to avoid (no preposition)|evitar
to try (to do something) (starts with i) (no preposition)|intentar
to swear to (no preposition)|jurar
to manage to, succeed in (e.g: women have won the right to vote over the sexist men) (no preposition)|lograr
to order to, to send (starts with m) (no preposition)|mandar
to deserve to (no preposition)|merecer
to need, have to (no preposition)|necesitar
to deny (no preposition)|negar
to offer (no preposition)|ofrecer
to hear (no preposition)|oír
to forget (no preposition)|olvidar
to order to (starts with o) (no preposition)|ordenar
to seem (no preposition)|parecer
to ask (starts with p) (no preposition)|pedir
to think, to plan/intend to (no preposition)|pensar
to allow (starts with p) (like "permit") (no preposition)|permitir
to be able to (no preposition)|poder
to prefer (no preposition)|preferir
to try to (starts with p) (no preposition)|pretender
to really try to (no preposition)|procurar
to prohibit (no preposition)|prohibir
to promise (no preposition)|prometer
to want (no preposition)|querer
to remember (like "record") (no preposition)|recordar
to refuse to (starts with "re") (no preposition)|rehusar
to resolve to (no preposition)|resolver
to know how to, to know (no preposition)|saber
to feel, to regret, to be sorry about (no preposition)|sentir
to usually do something, to be used/accustomed to (no preposition)|soler
to fear (no preposition)|temer
to see (no preposition)|ver
forehead|la frente
scar|la cicatriz
vanity case|el neceser
sumptuous (masculine) (expensive looking e.g fake products)|suntuoso
sumptuous (feminine) (expensive looking e.g fake products)|suntuosa
cheekbone|el pómulo
complexion (starts with t)|la tez
blusher (starts with c)|el colorete
blusher (starts with r)|el rubor
curling iron|el rizador
mascara (starts with r)|el rímel
to higlight (not destacar, starts with r)|realzar
tweezers|las pinzas
eyelash|la pestaña
hairdresser's (the establishment)|la peluquería
freckles|las pecas
pale (masculine)|pálido
pale (feminine)|pálida
eye bags|las ojeras
mixture|la mezcla
face mask (spanish word)|la mascarilla
to use make up|maquillarse
mask (latin american word)|la máscara
stain|la mancha
battered (masculine)|maltratado
battered (feminine)|maltratada
mole (on someone's skin)|el lunar
luminous (masculine)|luminoso
luminous (feminine)|luminosa
luxurious (masculine)|lujoso
luxurious (feminine)|lujosa
luxury|el lujo
to shine (not brillar, starts with l)|lucir
healthy-looking (masculine)|lozano
healthy-looking (feminine)|lozana
lotion|la loción
smooth (masculine)|liso
smooth (feminine)|lisa
cleanliness|la limpieza
lipstick|el lápiz de labios
tear|la lágrima
unforgettable|inolvidable
impeccable|impecable
to illuminate|iluminar
moisturising|hidratante
cotton swab|el hisopo
to hypnotise|hipnotizar
swollen (masculine)|hinchado
swollen (feminine)|hinchada
to moisturise|hidratar
to bewitch (starts with h)|hechizar
grease|la grasa
dashing, striking (masculine)|gallardo
dashing, striking (feminine)|gallarda
to rub|frotar
bottle (starts with b)|la botella
jar, (glass) bottle (starts with f)|el frasco
fragrance|la fragancia
firm|firme
features (starts with f)|las facciones
foam|la espuma
pimple (starts with e)|la espinilla
mirror|el espejo
nail polish|el esmalte de uñas
aging|el envejecimiento
enigmatic (masculine)|enigmático
enigmatic (feminine)|enigmática
to bewitch (starts with e)|embrujar
intoxicating|embrigador
elegance|la elegancia
to embellish|embellecer
grace (starts with d)|el donaire
to hide, conceal (starts with di)|disimular
stunning (starts with d)|deslumbrante
dehydrated (masculine)|deshidratado
dehydrated (feminine)|deshidratada
to remove hair from|depilar
eyeliner|el delineador
self-care (el + 2 words)|el cuidado personal
cutter|el cortador
cologne (not the city) (4 words starts with "el")|el agua de colonia
advice|el consejo
to cover|cubrir
cosmetology|la cosmetología
blusher|el colorete
eyedrops (starts with c) (this is a singular word)|el colirio
to heal (starts with cic)|cicatrizar
wax|la cera
full eyebrows|las cejas pobladas
chestnut brown (masculine) (starts with c)|castaño
chestnut brown (feminine) (starts with c)|castaña
layer|la capa
suntan lotion|el bronceador
lip gloss|el brillo de labios
to shine (starts with b)|brillar
pimple|el grano
balm|el bálsamo
self-image|la autoimagen
self-esteem|la autoestima
daring (starts with au)|audaz
daring (masculine) (starts with at)|atrevido
daring (feminine) (starts with at)|atrevida
rough (masculine)|áspero
rough (feminine)|áspera
cleaning (starts with a, not limpieza)|el aseo
to clean your room (3 words starts with a) (uses the word "c-"|arreglar el cuarto
repaired|reparado
anti-aging|antienvejecimiento
cotton|el algodón
acne|el acné
nose|la nariz
leg|la pierna
cheeks|las mejillas
arm|el brazo
knee|la rodilla
elbow|el codo
hand|la mano
lips|los labios
a finger|un dedo
teeth|los dientes
breasts|los senos
stomach|el estómago
hip|la cadera
ears|las orejas
eyebrows|las cejas
back|la espalda
butt|el culo
foot|el pie
neck|el cuello
shoulders|los hombros
wrist|la muñeca
rib|la costilla
breast|el seno
eyebrow|la ceja
buttocks|las nalgas
toe|el dedo del pie
ankle|el tobillo
waist|la cintura
shoulder|el hombro
body hair|el vello
muscle|el músculo
organ|el órgano
joint|la articulación
mouth|la boca
face (starts with c)|la cara
face (starts with r)|el rostro
forehead|la frente
tooth|el diente
head|la cabeza
eye|el ojo
brain|el cerebro
stomach|el estómago
belly|la barriga
bone|el hueso
lung|el pulmón
liver|el hígado
the daisy https://www.berlitz.com/blog/flowers-in-spanish|la maya
the gardenia|la gardenia
the orchid|la orquídea
the tulip|el tulipán
the marigold|la margarita
the azalea|la azalea
the geranium|el geranio
the lavender|la lavanda
the zinnia|la zinnia
the rose|la rosa
the sunflower|el girasol
the poppy|la amapola
the periwinkle|la teresita
the daffodil|el narciso
the petunia|la petunia
the violet|la violeta
the dusty miller|la dusty miller
the hyacinth|el jacinto
the hibiscus|la jamaica
the hydrangea|la hortensia
the jasmine|el jasmín
the lilac|la lila
the poinsettia|la noche buena
the calendula|la caléndula
the lily|el lirio
the pansy|el pensamiento
the primrose|la prímula
the alyssum|el aliso
the verbena|la verbena
the snapdragon|la boca de dragón
the aster|el aster
the chrysanthemum|el crisantemo
the delphinium|la espuela de caballero
the juniper|el enebro
the iris|el iris
the begonia|la begonia
the camellia|la camelia
the abutilon|el amantillo
the clematis|la clemátide
the forget me not|el nomeolvides
the snowdrop|la campanilla de invierno
the california poppy|la amapola de California
the cardinal flower|la cardenala encarnada
the water lilies|las ninfeáceas
the columbine|la aguileña
the foxglove|la dedalera
the lantana|la lantana
the lobelia|la lobelia
the aconite|el acónito
the african daisy|la arcotis
the laelia|la laelia
the agapanthus|el agapanto
the statice|la lavanda marina
the peruvian lily|el lirio peruano
the amaranthus|el amaranto
the bluebonnets|el lupino
the amaryllis|la añañuca
the lavatera|la malva
the anemone|la anémona
the anise|el anís
the ballota|la ballota
the duranta|la duranta
the bellflower|la campanula
the bergenia|la vergenia
the black-eyed susan|la rudbeckia bicolor
the wildflowers|las flores salvajes
the larkspur|la consolida
the bletilla|la bletilla
the ageratum|la yerba de zopilote
the bluestar flower|la amsonia azul
the lemon verbena|el cidrón
the bottlebrush|los limpiatubos
the nierembergia|la estrellita de las vegas
the brassica|la mostaza india
the broom|las retamas
the buttercup|la trompeta amarilla
the oriental lily|el lirio oriental
the catharanthus|la chavelita
the lewisia|la lewisia
the celosia|la celosia
the dianthus barbatus|el clavel del poeta
